"","fullName","country","politicalGroup","PoliticalInfluence","SocialInfluence","OverallInfluence"
"89","Sylvie BRUNET","France","Renew Europe Group",43,96,70
"90","Markus BUCHHEIT","Germany","Identity and Democracy Group",100,34,67
"91","Daniel BUDA","Romania","Group of the European People's Party (Christian Democrats)",69,89,79
"92","Udo BULLMANN","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",80,75,78
"93","Delara BURKHARDT","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",62,58,60
"94","Martin BUSCHMANN","Germany","Non-attached Members",51,13,32
"95","Cristian-Silviu BUŞOI","Romania","Group of the European People's Party (Christian Democrats)",30,55,42
"96","Reinhard BÜTIKOFER","Germany","Group of the Greens/European Free Alliance",81,17,49
"97","Jorge BUXADÉ VILLALBA","Spain","European Conservatives and Reformists Group",61,9,35
"98","Jerzy BUZEK","Poland","Group of the European People's Party (Christian Democrats)",25,50,38
"99","Carlo CALENDA","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",40,71,56
"100","Marco CAMPOMENOSI","Italy","Identity and Democracy Group",5,34,20
"101","Jordi CAÑAS","Spain","Renew Europe Group",96,97,96
"102","Pascal CANFIN","France","Renew Europe Group",35,48,42
"103","Damien CARÊME","France","Group of the Greens/European Free Alliance",97,76,86
"104","Andrea CAROPPO","Italy","Group of the European People's Party (Christian Democrats)",92,99,96
"105","Isabel CARVALHAIS","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",45,48,46
"106","Maria da Graça CARVALHO","Portugal","Group of the European People's Party (Christian Democrats)",41,98,70
"107","David CASA","Malta","Group of the European People's Party (Christian Democrats)",94,35,64
"108","Massimo CASANOVA","Italy","Identity and Democracy Group",92,15,54
"109","Daniel CASPARY","Germany","Group of the European People's Party (Christian Democrats)",95,42,68
"110","Fabio Massimo CASTALDO","Italy","Non-attached Members",12,59,36
"111","Pilar del CASTILLO VERA","Spain","Group of the European People's Party (Christian Democrats)",79,90,84
"112","Anna CAVAZZINI","Germany","Group of the Greens/European Free Alliance",6,45,26
"113","Susanna CECCARDI","Italy","Identity and Democracy Group",46,86,66
"114","Sara CERDAS","Portugal","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",32,37,34
"115","Catherine CHABAUD","France","Renew Europe Group",74,30,52
"116","Mohammed CHAHIM","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",16,68,42
"117","Leila CHAIBI","France","The Left group in the European Parliament - GUE/NGL",29,92,60
"118","Dita CHARANZOVÁ","Czechia","Renew Europe Group",6,19,12
"119","Olivier CHASTEL","Belgium","Renew Europe Group",24,20,22
"120","Caterina CHINNICI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",98,56,77
"121","Asger CHRISTENSEN","Denmark","Renew Europe Group",77,55,66
"122","Lefteris CHRISTOFOROU","Cyprus","Group of the European People's Party (Christian Democrats)",36,21,28
"123","Ilana CICUREL","France","Renew Europe Group",46,74,60
"124","Włodzimierz CIMOSZEWICZ","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",62,96,79
"125","Angelo CIOCCA","Italy","Identity and Democracy Group",35,61,48
"126","Dacian CIOLOŞ","Romania","Renew Europe Group",99,34,66
"127","Tudor CIUHODARU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",88,75,82
"128","Deirdre CLUNE","Ireland","Group of the European People's Party (Christian Democrats)",65,86,76
"129","Nathalie COLIN-OESTERLÉ","France","Group of the European People's Party (Christian Democrats)",5,5,5
"130","Gilbert COLLARD","France","Identity and Democracy Group",41,84,62
"131","Antoni COMÍN I OLIVERES","Spain","Non-attached Members",1,31,16
"132","Rosanna CONTE","Italy","Identity and Democracy Group",29,4,16
"133","David CORMAND","France","Group of the Greens/European Free Alliance",68,25,46
"134","Ignazio CORRAO","Italy","Group of the Greens/European Free Alliance",50,81,66
"135","Andrea COZZOLINO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",42,100,71
"136","Corina CREȚU","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",18,32,25
"137","Katalin CSEH","Hungary","Renew Europe Group",12,6,9
"138","Ciarán CUFFE","Ireland","Group of the Greens/European Free Alliance",26,81,54
"139","Josianne CUTAJAR","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",46,92,69
"140","Ryszard CZARNECKI","Poland","European Conservatives and Reformists Group",77,48,62
"141","Peter van DALEN","Netherlands","Group of the European People's Party (Christian Democrats)",88,65,76
"142","Clare DALY","Ireland","The Left group in the European Parliament - GUE/NGL",98,98,98
"143","Rosa D'AMATO","Italy","Group of the Greens/European Free Alliance",25,94,60
"144","Johan DANIELSSON","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",33,73,53
"145","Arnaud DANJEAN","France","Group of the European People's Party (Christian Democrats)",77,0,38
"146","Nicola DANTI","Italy","Renew Europe Group",99,36,68
"147","Gianantonio DA RE","Italy","Identity and Democracy Group",71,57,64
"148","Margarita DE LA PISA CARRIÓN","Spain","European Conservatives and Reformists Group",77,27,52
"149","Salvatore DE MEO","Italy","Group of the European People's Party (Christian Democrats)",84,0,42
"150","Paolo DE CASTRO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",14,39,26
"151","Jérémy DECERLE","France","Renew Europe Group",45,26,36
"152","Gwendoline DELBOS-CORFIELD","France","Group of the Greens/European Free Alliance",17,2,10
"153","Andor DELI","Hungary","Non-attached Members",67,46,56
"154","Karima DELLI","France","Group of the Greens/European Free Alliance",27,77,52
"155","Özlem DEMIREL","Germany","The Left group in the European Parliament - GUE/NGL",49,94,72
"156","Anna DEPARNAY-GRUNENBERG","Germany","Group of the Greens/European Free Alliance",41,97,69
"157","Tamás DEUTSCH","Hungary","Non-attached Members",49,26,38
"158","Geoffroy DIDIER","France","Group of the European People's Party (Christian Democrats)",82,73,78
"159","Martina DLABAJOVÁ","Czechia","Renew Europe Group",26,37,32
"160","Klára DOBREV","Hungary","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",12,98,55
"161","Christian DOLESCHAL","Germany","Group of the European People's Party (Christian Democrats)",46,95,70
"162","Anna Júlia DONÁTH","Hungary","Renew Europe Group",91,10,50
"163","Francesca DONATO","Italy","Identity and Democracy Group",54,82,68
"164","Herbert DORFMANN","Italy","Group of the European People's Party (Christian Democrats)",88,20,54
"165","Marco DREOSTO","Italy","Identity and Democracy Group",8,2,5
"166","Jarosław DUDA","Poland","Group of the European People's Party (Christian Democrats)",75,99,87
"167","Lena DÜPONT","Germany","Group of the European People's Party (Christian Democrats)",8,74,41
"168","Estrella DURÁ FERRANDIS","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",6,69,38
"169","Pascal DURAND","France","Renew Europe Group",0,1,0
"170","Lucia ĎURIŠ NICHOLSONOVÁ","Slovakia","Renew Europe Group",98,5,52
"171","Angel DZHAMBAZKI","Bulgaria","European Conservatives and Reformists Group",17,53,35
"172","Christian EHLER","Germany","Group of the European People's Party (Christian Democrats)",63,64,64
"173","Bas EICKHOUT","Netherlands","Group of the Greens/European Free Alliance",26,67,46
"174","Cyrus ENGERER","Malta","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",68,79,74
"175","Cornelia ERNST","Germany","The Left group in the European Parliament - GUE/NGL",90,88,89
"176","Engin EROGLU","Germany","Renew Europe Group",79,31,55
"177","Ismail ERTUG","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",75,23,49
"178","Rosa ESTARÀS FERRAGUT","Spain","Group of the European People's Party (Christian Democrats)",28,14,21
"179","Eleonora EVI","Italy","Group of the Greens/European Free Alliance",96,40,68
"180","Agnès EVREN","France","Group of the European People's Party (Christian Democrats)",28,24,26
"181","Tanja FAJON","Slovenia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",0,72,36
"182","Gheorghe FALCĂ","Romania","Group of the European People's Party (Christian Democrats)",38,67,52
"183","Laurence FARRENG","France","Renew Europe Group",56,66,61
"184","Markus FERBER","Germany","Group of the European People's Party (Christian Democrats)",4,88,46
"185","José Manuel FERNANDES","Portugal","Group of the European People's Party (Christian Democrats)",59,32,46
"186","Jonás FERNÁNDEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",73,17,45
"187","Giuseppe FERRANDINO","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",14,71,42
"188","Laura FERRARA","Italy","Non-attached Members",83,12,48
"189","Nicolaus FEST","Germany","Identity and Democracy Group",94,76,85
"190","Carlo FIDANZA","Italy","European Conservatives and Reformists Group",82,30,56
"191","Pietro FIOCCHI","Italy","European Conservatives and Reformists Group",68,5,36
"192","Raffaele FITTO","Italy","European Conservatives and Reformists Group",24,12,18
"193","Frances FITZGERALD","Ireland","Group of the European People's Party (Christian Democrats)",17,50,34
"194","Luke Ming FLANAGAN","Ireland","The Left group in the European Parliament - GUE/NGL",20,31,26
"195","Valter FLEGO","Croatia","Renew Europe Group",80,32,56
"196","Anna FOTYGA","Poland","European Conservatives and Reformists Group",33,73,53
"197","Loucas FOURLAS","Cyprus","Group of the European People's Party (Christian Democrats)",21,69,45
"198","Emmanouil FRAGKOS","Greece","European Conservatives and Reformists Group",67,9,38
"199","Tomasz FRANKOWSKI","Poland","Group of the European People's Party (Christian Democrats)",59,85,72
"200","Cindy FRANSSEN","Belgium","Group of the European People's Party (Christian Democrats)",6,91,48
"201","Romeo FRANZ","Germany","Group of the Greens/European Free Alliance",19,91,55
"202","Daniel FREUND","Germany","Group of the Greens/European Free Alliance",27,32,30
"203","Heléne FRITZON","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",69,43,56
"204","Niels FUGLSANG","Denmark","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",1,20,10
"205","Mario FURORE","Italy","Non-attached Members",84,75,80
"206","Søren GADE","Denmark","Renew Europe Group",9,14,12
"207","Michael GAHLER","Germany","Group of the European People's Party (Christian Democrats)",20,92,56
"208","Lina GÁLVEZ MUÑOZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",89,13,51
"209","Claudia GAMON","Austria","Renew Europe Group",77,32,54
"210","Gianna GANCIA","Italy","Identity and Democracy Group",27,86,56
"211","Ibán GARCÍA DEL BLANCO","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",90,70,80
"212","José Manuel GARCÍA-MARGALLO Y MARFIL","Spain","Group of the European People's Party (Christian Democrats)",93,31,62
"213","Isabel GARCÍA MUÑOZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",73,21,47
"214","Iratxe GARCÍA PÉREZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",57,33,45
"215","Eider GARDIAZABAL RUBIAL","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",15,60,38
"216","Luis GARICANO","Spain","Renew Europe Group",0,4,2
"217","Jean-Paul GARRAUD","France","Identity and Democracy Group",64,50,57
"218","Evelyne GEBHARDT","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",37,21,29
"219","Alexandra GEESE","Germany","Group of the Greens/European Free Alliance",82,24,53
"220","Jens GEIER","Germany","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",71,56,64
"221","Chiara GEMMA","Italy","Non-attached Members",96,58,77
"222","Giorgos GEORGIOU","Cyprus","The Left group in the European Parliament - GUE/NGL",12,58,35
"223","Alexis GEORGOULIS","Greece","The Left group in the European Parliament - GUE/NGL",25,99,62
"224","Vlad GHEORGHE","Romania","Renew Europe Group",92,85,88
"225","Dino GIARRUSSO","Italy","Non-attached Members",79,16,48
"226","Sven GIEGOLD","Germany","Group of the Greens/European Free Alliance",5,72,38
"227","Sunčana GLAVAK","Croatia","Group of the European People's Party (Christian Democrats)",90,84,87
"228","Andreas GLÜCK","Germany","Renew Europe Group",46,77,62
"229","Raphaël GLUCKSMANN","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",51,95,73
"230","Charles GOERENS","Luxembourg","Renew Europe Group",93,88,90
"231","Mónica Silvana GONZÁLEZ","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",68,45,56
"232","Nicolás GONZÁLEZ CASARES","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",55,10,32
"233","Esteban GONZÁLEZ PONS","Spain","Group of the European People's Party (Christian Democrats)",6,4,5
"234","Sandro GOZI","France","Renew Europe Group",84,59,72
"235","Marcel de GRAAFF","Netherlands","Identity and Democracy Group",68,77,72
"236","Valentino GRANT","Italy","Identity and Democracy Group",45,86,66
"237","Maria GRAPINI","Romania","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",56,15,36
"238","Markéta GREGOROVÁ","Czechia","Group of the Greens/European Free Alliance",21,14,18
"239","Catherine GRISET","France","Identity and Democracy Group",20,21,20
"240","Bart GROOTHUIS","Netherlands","Renew Europe Group",47,92,70
"241","Klemen GROŠELJ","Slovenia","Renew Europe Group",23,33,28
"242","Christophe GRUDLER","France","Renew Europe Group",21,34,28
"243","Claude GRUFFAT","France","Group of the Greens/European Free Alliance",53,40,46
"244","Elisabetta GUALMINI","Italy","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",4,14,9
"245","Francisco GUERREIRO","Portugal","Group of the Greens/European Free Alliance",1,80,40
"246","Bernard GUETTA","France","Renew Europe Group",13,5,9
"247","Sylvie GUILLAUME","France","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",43,99,71
"248","José GUSMÃO","Portugal","The Left group in the European Parliament - GUE/NGL",50,58,54
"249","Jytte GUTELAND","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",31,47,39
"250","Márton GYÖNGYÖSI","Hungary","Non-attached Members",16,15,16
"251","Enikő GYŐRI","Hungary","Non-attached Members",1,60,30
"252","András GYÜRK","Hungary","Non-attached Members",28,72,50
"253","Svenja HAHN","Germany","Renew Europe Group",43,40,42
"254","Henrike HAHN","Germany","Group of the Greens/European Free Alliance",36,82,59
"255","Robert HAJŠEL","Slovakia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",59,74,66
"256","Andrzej HALICKI","Poland","Group of the European People's Party (Christian Democrats)",72,63,68
"257","Christophe HANSEN","Luxembourg","Group of the European People's Party (Christian Democrats)",23,57,40
"258","Martin HÄUSLING","Germany","Group of the Greens/European Free Alliance",68,19,44
"259","Heidi HAUTALA","Finland","Group of the Greens/European Free Alliance",19,11,15
"260","Mircea-Gheorghe HAVA","Romania","Group of the European People's Party (Christian Democrats)",72,24,48
"261","Valérie HAYER","France","Renew Europe Group",97,34,66
"262","Anja HAZEKAMP","Netherlands","The Left group in the European Parliament - GUE/NGL",47,82,64
"263","Hannes HEIDE","Austria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",3,69,36
"264","Eero HEINÄLUOMA","Finland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",14,19,16
"265","Pierrette HERZBERGER-FOFANA","Germany","Group of the Greens/European Free Alliance",81,17,49
"266","Krzysztof HETMAN","Poland","Group of the European People's Party (Christian Democrats)",45,4,24
"267","Balázs HIDVÉGHI","Hungary","Non-attached Members",62,30,46
"268","Monika HOHLMEIER","Germany","Group of the European People's Party (Christian Democrats)",47,41,44
"269","Martin HOJSÍK","Slovakia","Renew Europe Group",74,31,52
"270","Pär HOLMGREN","Sweden","Group of the Greens/European Free Alliance",82,33,58
"271","György HÖLVÉNYI","Hungary","Group of the European People's Party (Christian Democrats)",54,2,28
"272","Alicia HOMS GINEL","Spain","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",20,24,22
"273","Michiel HOOGEVEEN","Netherlands","European Conservatives and Reformists Group",72,28,50
"274","Brice HORTEFEUX","France","Group of the European People's Party (Christian Democrats)",52,32,42
"275","Ivo HRISTOV","Bulgaria","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",95,31,63
"276","Danuta Maria HÜBNER","Poland","Group of the European People's Party (Christian Democrats)",35,29,32
"277","Laura HUHTASAARI","Finland","Identity and Democracy Group",59,40,50
"278","Jan HUITEMA","Netherlands","Renew Europe Group",93,1,47
"279","Ivars IJABS","Latvia","Renew Europe Group",69,12,40
"280","Ladislav ILČIĆ","Croatia","European Conservatives and Reformists Group",2,12,7
"281","Evin INCIR","Sweden","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",70,10,40
"282","Sophia IN 'T VELD","Netherlands","Renew Europe Group",83,19,51
"283","Yannick JADOT","France","Group of the Greens/European Free Alliance",31,50,40
"284","Peter JAHR","Germany","Group of the European People's Party (Christian Democrats)",38,92,65
"285","Stasys JAKELIŪNAS","Lithuania","Group of the Greens/European Free Alliance",63,32,48
"286","Patryk JAKI","Poland","European Conservatives and Reformists Group",7,17,12
"287","Jean-François JALKH","France","Identity and Democracy Group",13,45,29
"288","France JAMET","France","Identity and Democracy Group",16,14,15
"289","Lívia JÁRÓKA","Hungary","Non-attached Members",59,26,42
"290","Adam JARUBAS","Poland","Group of the European People's Party (Christian Democrats)",68,41,54
"291","Romana JERKOVIĆ","Croatia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",99,58,78
"292","Agnes JONGERIUS","Netherlands","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",57,87,72
"293","Virginie JORON","France","Identity and Democracy Group",4,84,44
"294","Irena JOVEVA","Slovenia","Renew Europe Group",60,75,68
"295","Rasa JUKNEVIČIENĖ","Lithuania","Group of the European People's Party (Christian Democrats)",100,51,76
"296","Krzysztof JURGIEL","Poland","European Conservatives and Reformists Group",2,44,23
"297","Eugen JURZYCA","Slovakia","European Conservatives and Reformists Group",62,8,35
"298","Herve JUVIN","France","Identity and Democracy Group",33,40,36
"299","Eva KAILI","Greece","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",58,83,70
"300","Jarosław KALINOWSKI","Poland","Group of the European People's Party (Christian Democrats)",97,11,54
"301","Marina KALJURAND","Estonia","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",88,75,82
"302","Sandra KALNIETE","Latvia","Group of the European People's Party (Christian Democrats)",40,38,39
"303","Radan KANEV","Bulgaria","Group of the European People's Party (Christian Democrats)",4,78,41
"304","Assita KANKO","Belgium","European Conservatives and Reformists Group",91,24,58
"305","Othmar KARAS","Austria","Group of the European People's Party (Christian Democrats)",34,38,36
"306","Pierre KARLESKIND","France","Renew Europe Group",58,39,48
"307","Karin KARLSBRO","Sweden","Renew Europe Group",3,65,34
"308","Karol KARSKI","Poland","European Conservatives and Reformists Group",39,16,28
"309","Elsi KATAINEN","Finland","Renew Europe Group",61,53,57
"310","Manolis KEFALOGIANNIS","Greece","Group of the European People's Party (Christian Democrats)",23,25,24
"311","Billy KELLEHER","Ireland","Renew Europe Group",98,40,69
"312","Fabienne KELLER","France","Renew Europe Group",85,43,64
"313","Ska KELLER","Germany","Group of the Greens/European Free Alliance",80,28,54
"314","Seán KELLY","Ireland","Group of the European People's Party (Christian Democrats)",16,49,32
"315","Beata KEMPA","Poland","European Conservatives and Reformists Group",76,50,63
"316","Niyazi KIZILYÜREK","Cyprus","The Left group in the European Parliament - GUE/NGL",49,97,73
"317","Izabela-Helena KLOC","Poland","European Conservatives and Reformists Group",31,29,30
"318","Ondřej KNOTEK","Czechia","Renew Europe Group",3,9,6
"319","Peter KOFOD","Denmark","Identity and Democracy Group",41,28,34
"320","Łukasz KOHUT","Poland","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament",18,59,38
"321","Arba KOKALARI","Sweden","Group of the European People's Party (Christian Democrats)",2,73,38
"322","Petros KOKKALIS","Greece","The Left group in the European Parliament - GUE/NGL",61,66,64
"323","Marcel KOLAJA","Czechia","Group of the Greens/European Free Alliance",61,65,63
"324","Mislav KOLAKUŠIĆ","Croatia","Non-attached Members",86,18,52
"325","Kateřina KONEČNÁ","Czechia","The Left group in the European Parliament - GUE/NGL",24,6,15
"326","Ewa KOPACZ","Poland","Group of the European People's Party (Christian Democrats)",68,85,76
"327","Joanna KOPCIŃSKA","Poland","European Conservatives and Reformists Group",51,1,26
"328","Moritz KÖRNER","Germany","Renew Europe Group",88,45,66
